text	translation	source	flag
aims	自动化工业管理系统	both	G4-verb-sense-lost
alarm	闹钟；警报，警告器；惊慌	both	G4-verb-sense-lost
alarms	[安全] 警报；[安全] 警报器；闹钟	both	G4-verb-sense-lost
alerted	警告；使警觉，使意识到	both	G4-verb-sense-lost
alerts	警报；警戒状态；通告	both	G4-verb-sense-lost
alighted	飞落； 突然注意到，偶然发现（或想到）	both	G4-verb-sense-lost
alighting	飞落； 突然注意到，偶然发现（或想到）	both	G4-verb-sense-lost
alights	飞落； 突然注意到，偶然发现（或想到）	both	G4-verb-sense-lost
align	使结盟；使成一行；匹配	both	G4-verb-sense-lost
alkylating	[机] 烷基化的, 烷基化作用	both	G4-verb-sense-lost
allay	减轻；使缓和；使平静	both	G4-verb-sense-lost
allege	宣称，断言；提出…作为理由	both	G4-verb-sense-lost
allude	暗指，转弯抹角地说到；略为提及，顺便提到	both	G4-verb-sense-lost
alluded	暗指，转弯抹角地说到；略为提及，顺便提到	both	G4-verb-sense-lost
ally	同盟国；伙伴；同盟者；助手	both	G4-verb-sense-lost
almighty	adj. 万能的；极大的；adv. 极度地；Almighty:上帝.	both	review
alphabetize	依字母顺序排列；用字母表示；拼音化	both	G4-verb-sense-lost
alphabetized	依字母顺序排列；用字母表示；拼音化	both	G4-verb-sense-lost
altered	为参加短程高速汽车赛而改装的赛车	both	G4-verb-sense-lost
alzheimer	n. 老年痴呆症（亦称: disease，阿兹海默症）	both	review
amalgamate	合并；使（金属）汞齐化；混合	both	G4-verb-sense-lost
ambition	野心，雄心；抱负，志向	both	G4-verb-sense-lost
ambulate	走动；步行；移动	both	G4-verb-sense-lost
amend	修改；改善，改进	both	G4-verb-sense-lost
amenities	n. 适意；舒适；便利设施；（复）amenities：礼仪；礼节.	both	review
americanize	使美国化	both	G4-verb-sense-lost
americanized	美国化的	both	G4-verb-sense-lost
amortize	摊销（等于amortise）；分期偿还	both	G4-verb-sense-lost
amounted	总计，合计；相当于；共计；产生…结果	both	G4-verb-sense-lost
amplify	放大，扩大；增强；详述	both	G4-verb-sense-lost
amputate	截肢；切断；删除	both	G4-verb-sense-lost
amuse	娱乐；消遣；使发笑；使愉快	both	G4-verb-sense-lost
anchorage	n. 下锚；停泊所；停泊税；寄托；Anchorage.；n. 安克雷奇(美国港口城市)	both	review
andale	[美国] 安代尔； [地名] [厄立特里亚] 安达莱	both	review
andy	n. 安迪（男子名，Andrew的昵称）；安迪（女子名，Andrea的昵称）	both	review
anele	（尤指给临终的人）涂油	both	G4-verb-sense-lost
annex	附加物；附属建筑物	both	G4-verb-sense-lost
annexing	并吞； 兼并； 强占； 并吞（国家、地区等）	both	G4-verb-sense-lost
annotate	注释；作注解	both	G4-verb-sense-lost
announce	宣布；述说；预示；播报	both	G4-verb-sense-lost
announces	宣布；述说；预示；播报	both	G4-verb-sense-lost
anonymize	隐去（试验结果等）中的姓名资料，使匿名	both	G4-verb-sense-lost
antagonize	使…敌对；使…对抗；对…起反作用	both	G4-verb-sense-lost
antes	（赌纸牌下的）赌注； 已付的金额； 分担额； 预付款	both	G4-verb-sense-lost
anticipate	预期，期望；占先，抢先；提前使用	both	G4-verb-sense-lost
anticipates	预期，期望；占先，抢先；提前使用	both	G4-verb-sense-lost
antony	Antony.；n. 安东尼（男子名）；n. 安东尼市（法国中北部城市）	both	review
apologize	道歉；辩解；赔不是	both	G4-verb-sense-lost
appeal	呼吁，请求；吸引力，感染力；上诉；诉诸裁判	both	G4-verb-sense-lost
appear	出现；显得；似乎；出庭；登场	both	G4-verb-sense-lost
appease	使平息；使满足；使和缓；对…让步	both	G4-verb-sense-lost
append	设置数据文件的搜索路径	both	G4-verb-sense-lost
appertain	属于；和……有关，有关系	both	G4-verb-sense-lost
apply	申请；涂，敷；适用；请求	both	G4-verb-sense-lost
appreciated	欣赏；感激；领会；鉴别	both	G4-verb-sense-lost
arbitrate	仲裁；公断	both	G4-verb-sense-lost
archer	n. 射箭运动员；弓箭手；Archer.；n. 射手座；阿切尔(姓氏)	both	review
arches	拱桥；弓形	both	G4-verb-sense-lost
areer	经历；职业；生涯	both	G4-verb-sense-lost
argentine	adj. 银的；n. 银；Argentine.；n. 阿根廷人；adj. 阿根廷（人）的	both	review
argue	争论，辩论；提出理由	both	G4-verb-sense-lost
arise	出现；上升；起立	both	G4-verb-sense-lost
arranging	n. 安排；动词arrange现在分词形式.	both	review
array	数组，阵列；排列，列阵；大批，一系列；衣服	both	G4-verb-sense-lost
arrayed	排列的；摆好的；准备就序的	both	G4-verb-sense-lost
arraying	部署兵力； 排列； 整队； 盛装	both	G4-verb-sense-lost
arrive	到达；成功；达成；出生	both	G4-verb-sense-lost
arrives	到达；成功；达成；出生	both	G4-verb-sense-lost
arrogate	冒称；霸占；没来由地将…归属于	both	G4-verb-sense-lost
arsenal	n. 兵工厂；军械库；储藏；Arsenal.；n. 阿森纳(英格兰一足球队名)	both	review
article	文章；物品；条款；[语] 冠词	both	G4-verb-sense-lost
articles	[语] 文章；物品；[法] 条款；[语] 冠词	both	G4-verb-sense-lost
articulate	发音清晰的；口才好的；有关节的	both	G4-verb-sense-lost
articulating	清晰地发（音）；明确有力地表达；用关节连接；使相互连贯	both	G4-verb-sense-lost
ascend	上升；登高；追溯	both	G4-verb-sense-lost
ask	问，询问；要求；需要；邀请；讨价	both	G4-verb-sense-lost
asks	问，询问；要求；需要；邀请；讨价	both	G4-verb-sense-lost
aspire	渴望；立志；追求	both	G4-verb-sense-lost
assassin	n. 暗杀者；刺客；Assassin.；n. 暗杀基督教十字军成员的穆斯林狂热派	both	review
assassinate	暗杀；行刺	both	G4-verb-sense-lost
assassinated	暗杀；行刺	both	G4-verb-sense-lost
assemble	集合，聚集；装配；收集	both	G4-verb-sense-lost
assign	分配；指派；[计][数] 赋值	both	G4-verb-sense-lost
assigns	受让人，接受财产等转让的人	both	G4-verb-sense-lost
assimilate	吸收；使同化；把…比作；使相似	both	G4-verb-sense-lost
assister	（帮助）的名词形式； 拂	both	G4-verb-sense-lost
assume	僭取；篡夺；夺取；擅用；侵占	both	G4-verb-sense-lost
assure	保证；担保；使确信；弄清楚	both	G4-verb-sense-lost
assures	保证；担保；使确信；弄清楚	both	G4-verb-sense-lost
atomize	使分裂为原子；将…喷成雾状；使遭受原子弹轰炸	both	G4-verb-sense-lost
atrophy	萎缩，萎缩症；发育停止	both	G4-verb-sense-lost
attack	攻击；抨击；疾病发作	both	G4-verb-sense-lost
attainment	n. 达到；获得；attainments:成就； 才能； 学识.	both	review
attend	出席；致力于；照料；照顾	both	G4-verb-sense-lost
attender	出席者；按规定常到的人；常客	both	G4-verb-sense-lost
attenuated	[生物][物] 衰减的；瘦长的	both	G4-verb-sense-lost
attest	证明；证实；为…作证	both	G4-verb-sense-lost
attune	使协调；使合拍；为…调音；调合波长	both	G4-verb-sense-lost
auditions	试演；试听；[生理] 听力	both	G4-verb-sense-lost
augur	预言者；占兆官；占卜师	both	G4-verb-sense-lost
augured	预示，预兆，预言； 成为预兆； 占卜	both	G4-verb-sense-lost
augurs	（古罗马的）占兆官； 占卜师，预言者	both	G4-verb-sense-lost
authenticate	鉴定；证明…是真实的	both	G4-verb-sense-lost
author	作者；作家；创始人	both	G4-verb-sense-lost
authored	授权；任命	both	G4-verb-sense-lost
authorize	批准，认可；授权给；委托代替	both	G4-verb-sense-lost
authors	n. 作家；作者；vt. 编写；创作；Author.；n. 上帝	both	review
autoload	自动加载[装填，装卸，上料，送料]	both	G4-verb-sense-lost
automate	使自动化，使自动操作	both	G4-verb-sense-lost
avail	有益于，有益于；使对某人有利	both	G4-verb-sense-lost
avatar	n. （网络空间中使用的）头像；化身；（印度教）天神下凡；Avatar.；n. 阿凡达	both	review
aver	人名；(法、俄、塞)阿韦尔	both	G4-verb-sense-lost
averages	平均水平； （速度等的）平均率； 平均估价	both	G4-verb-sense-lost
avow	承认；公开宣称；坦率承认	both	G4-verb-sense-lost
awaken	唤醒；唤起；使…意识到	both	G4-verb-sense-lost
awakes	唤醒； 觉悟到； 使觉悟	both	G4-verb-sense-lost
awarded	授予；判定	both	G4-verb-sense-lost
awarding	颁奖；获奖情况	both	G4-verb-sense-lost
awards	奖项；判决；[劳经] 奖赏	both	G4-verb-sense-lost
axed	（用斧）砍； 精简（机构等）； 大量削减（经费等）	both	G4-verb-sense-lost
axing	（用斧）砍； 精简（机构等）； 大量削减（经费等）	both	G4-verb-sense-lost
babied	婴儿，婴孩；孩子气的人	both	G4-verb-sense-lost
baby	婴儿，婴孩；孩子气的人	both	G4-verb-sense-lost
backcross	回[逆]交，回交杂种	both	G4-verb-sense-lost
backfill	回填；用来填满坑穴的泥土或其他东西	both	G4-verb-sense-lost
background	背景；隐蔽的位置	both	G4-verb-sense-lost
backlog	[管理] 积压的工作；积压待办的事务；大木材	both	G4-verb-sense-lost
backpedal	倒踏脚踏板；（拳击中的）后退；（意见等的）撤回；变卦	both	G4-verb-sense-lost
backslider	指那些想要改掉坏习惯，但是往往在改了一段时间后又恢复老习惯的人	both	G4-verb-sense-lost
backstab	以卑鄙的手段陷害	both	G4-verb-sense-lost
backstop	挡球网；捕手；支撑物	both	G4-verb-sense-lost
backstops	挡球网；捕手；支撑物	both	G4-verb-sense-lost
backtrack	[计] 回溯；由原路返回；放弃	both	G4-verb-sense-lost
badge	徽章；证章；标记	both	G4-verb-sense-lost
badger	獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；毛鼻袋熊	both	G4-verb-sense-lost
badgering	獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；毛鼻袋熊	both	G4-verb-sense-lost
badgers	n. 獾；獾皮(毛)；Badger:獾州人(对威斯康星州人的昵称).；v. 纠缠；一再烦扰；吵着要	both	review
baffles	[机][电子] 挡板；困惑；转盘	both	G4-verb-sense-lost
baited	引诱；在…中放诱饵；折磨	both	G4-verb-sense-lost
baits	（钓鱼等用的）饵，诱饵； 用作诱饵的人（或物）	both	G4-verb-sense-lost
bale	包；捆；灾祸；不幸	both	G4-verb-sense-lost
baled	将某物打成包或包装成捆	both	G4-verb-sense-lost
bales	捆；毛包	both	G4-verb-sense-lost
ballot	投票；投票用纸；投票总数	both	G4-verb-sense-lost
band	带，环；[物] 波段；(演奏流行音乐的) 乐队	both	G4-verb-sense-lost
bandied	吵嘴，顶嘴； 传播（谣言、消息等）（常为漫不经心地）	both	G4-verb-sense-lost
banners	横幅；旗帜广告；广告横幅	both	G4-verb-sense-lost
bar	条，棒；酒吧；障碍；法庭	both	G4-verb-sense-lost
bared	人名；(阿拉伯)巴雷德	both	G4-verb-sense-lost
barer	光秃秃的； （房间、柜子等） 空的； 赤裸的； 刚好够的	both	G4-verb-sense-lost
barges	[船] 驳船	both	G4-verb-sense-lost
barging	驳船运输；驳运	both	G4-verb-sense-lost
bark	人名；(英、西、德、捷、法、芬、瑞典)巴克；(阿拉伯、俄)巴尔克	both	G4-verb-sense-lost
barks	剥（树皮）；狗吠	both	G4-verb-sense-lost
barricading	设路障于，以障碍物阻塞； 设路障[防御工事]保卫或固守	both	G4-verb-sense-lost
bashed	痛击，猛击； 严厉批评	both	G4-verb-sense-lost
bastardized	退化非纯种的；非正宗的	both	G4-verb-sense-lost
bat	蝙蝠；球棒；球拍；批处理文件的扩展名	both	G4-verb-sense-lost
baths	洗澡；浴缸	both	G4-verb-sense-lost
batten	板条；曲尺；扣板；小方材	both	G4-verb-sense-lost
batter	击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜	both	G4-verb-sense-lost
bawls	大叫，大喊； 放声大哭； 大声叫出； 叫卖（货物）	both	G4-verb-sense-lost
bayed	（尤指猎犬等）吠，叫，咆哮	both	G4-verb-sense-lost
beam	横梁；光线；电波；船宽；[计量] 秤杆	both	G4-verb-sense-lost
beat	拍子；敲击；有规律的一连串敲打	both	G4-verb-sense-lost
bebe	[医]婴儿（计算机病毒名）； [人名] 比比	both	review
becky	n. 贝基（女子名；Rebecca的昵称）	both	review
beef	牛肉；肌肉；食用牛；牢骚	both	G4-verb-sense-lost
beefed	牛肉；肌肉；食用牛；牢骚	both	G4-verb-sense-lost
beefing	牛肉；肌肉；食用牛；牢骚	both	G4-verb-sense-lost
befit	适合于；为…该做的；对…适当	both	G4-verb-sense-lost
befriend	帮助；待人如友；扶助	both	G4-verb-sense-lost
beget	产生；招致；引起；当…的父亲	both	G4-verb-sense-lost
begrudge	羡慕，嫉妒；吝惜，舍不得给	both	G4-verb-sense-lost
beguile	欺骗；使着迷；轻松地消磨	both	G4-verb-sense-lost
behave	表现；（机器等）运转；举止端正；（事物）起某种作用	both	G4-verb-sense-lost
behaves	表现；（机器等）运转；举止端正；（事物）起某种作用	both	G4-verb-sense-lost
behead	砍头；使河流被夺流	both	G4-verb-sense-lost
belabor	痛打；抨击；过度说明；反复讨论	both	G4-verb-sense-lost
belgique	比利时（西欧国家，首都布鲁塞尔Brussels）	both	review
belie	掩饰；与…不符；使失望；证明…虚假错误	both	G4-verb-sense-lost
believe	信任；料想；笃信宗教	both	G4-verb-sense-lost
bella	贝拉（女子名，等于Arabella，Isabella）	both	review
belly	腹部；胃；食欲	both	G4-verb-sense-lost
belong	属于，应归入；居住；适宜；应被放置	both	G4-verb-sense-lost
bennett	班尼特（男子名, 等于Benedict）	both	review
bequeath	遗赠；把…遗赠给；把…传下去	both	G4-verb-sense-lost
bequeathed	遗赠；把…遗赠给；把…传下去	both	G4-verb-sense-lost
berate	严责；申斥	both	G4-verb-sense-lost
berry	浆果（葡萄，番茄等）	both	G4-verb-sense-lost
berthed	停泊； 占铺位	both	G4-verb-sense-lost
berths	（船、列车等的）卧铺； （船舶的）停泊位或锚位； 差事； 船台	both	G4-verb-sense-lost
beseech	恳求，哀求；乞求，急切地要求得到	both	G4-verb-sense-lost
besiege	围困；包围；烦扰	both	G4-verb-sense-lost
besmirch	弄污；损害；诽谤	both	G4-verb-sense-lost
best	最好的人，最好的事物；最佳状态	both	G4-verb-sense-lost
betake	去，往，到（某处、某人处）	both	G4-verb-sense-lost
bethink	考虑； 开始想； （被）想起； 提醒	both	G4-verb-sense-lost
betide	预示；降临于，发生于	both	G4-verb-sense-lost
betray	背叛；出卖；泄露（秘密）；露出…迹象	both	G4-verb-sense-lost
betraying	背叛；出卖；泄露（秘密）；露出…迹象	both	G4-verb-sense-lost
beverly	Beverly.；n. 贝弗利（美国马萨诸塞州东北部城市）	both	review
beware	注意，当心；提防	both	G4-verb-sense-lost
bewitch	施魔法于，蛊惑；使着迷	both	G4-verb-sense-lost
bewitched	着魔的；被迷住的	both	G4-verb-sense-lost
bewray	泄露，暴露，显示	both	G4-verb-sense-lost
bib	围嘴，围涎；围裙的上部	both	G4-verb-sense-lost
bibs	（小儿用的）围嘴； 围裙的上部	both	G4-verb-sense-lost
bicker	吵嘴；口角；（水的）潺潺声	both	G4-verb-sense-lost
bid	出价；叫牌；努力争取	both	G4-verb-sense-lost
bigfoot	大脚；传说中生存于北美洲西北部太平洋沿岸森林中的野人（等于Sasquatch）	both	review
bilge	舱底；舱底污水；无聊的话	both	G4-verb-sense-lost
bilges	舱底； 无聊的想法，废话	both	G4-verb-sense-lost
bind	捆绑；困境；讨厌的事情；植物的藤蔓	both	G4-verb-sense-lost
bioassay	生物测定，生物鉴定；[生物] 活体检定	both	G4-verb-sense-lost
biodegrade	生物递降分解	both	G4-verb-sense-lost
birthing	生育的；生育用的；分娩用的	both	G4-verb-sense-lost
bite	咬；一口；咬伤；刺痛	both	G4-verb-sense-lost
bitterest	怀恨的； 尖锐的； 严寒的； 愤愤不平的	both	G4-verb-sense-lost
bivy	[军队俚语]小帐篷；临时营帐；[英国俚语]	both	G4-verb-sense-lost
biz	商业（等于business）	both	review
blabber	多嘴的人；泄密者；胡言乱语	both	G4-verb-sense-lost
blabbering	多嘴的人；泄密者；胡言乱语	both	G4-verb-sense-lost
blackbird	画眉；燕八哥；山鸟类；(欧洲的)乌鸫	both	G4-verb-sense-lost
blacked	弄脏； 使变黑； 抵制； 把黑油彩抹在（演员）脸上	both	G4-verb-sense-lost
blacken	使变黑；诽谤，诋毁	both	G4-verb-sense-lost
blackguard	恶棍；说脏话的人	both	G4-verb-sense-lost
blackmail	勒索，敲诈；勒索所得之款	both	G4-verb-sense-lost
blarney	奉承话；谄媚；胡扯	both	G4-verb-sense-lost
blazes	地狱； 火焰； 光辉； 迸发； （光或色彩等的）展现	both	G4-verb-sense-lost
bleeds	流血； 勒索，敲诈； 散开； 给（某人）放血	both	G4-verb-sense-lost
blemish	瑕疵；污点；缺点	both	G4-verb-sense-lost
blemished	有瑕疵的；有污点的	both	G4-verb-sense-lost
blister	水泡；水疱；气泡；砂眼；起泡剂	both	G4-verb-sense-lost
blisters	[医] 水疱；起疱剂；[冶] 气泡	both	G4-verb-sense-lost
bloat	膨胀的东西，肿胀的人；肿胀病人；自满的人	both	G4-verb-sense-lost
bloodied	血腥的；非常的；嗜杀的，残忍的；血色的	both	G4-verb-sense-lost
bloody	血腥的；非常的；嗜杀的，残忍的；血色的	both	G4-verb-sense-lost
blooms	花朵；[生态] 水华	both	G4-verb-sense-lost
blossom	花；开花期；兴旺期；花开的状态	both	G4-verb-sense-lost
blotted	涂污； （用吸墨纸）吸干	both	G4-verb-sense-lost
bluffed	以假象欺骗，吹牛； 以虚张声势找出或达成	both	G4-verb-sense-lost
bluffs	恐吓； 悬崖； 峭壁	both	G4-verb-sense-lost
blunt	钝的，不锋利的；生硬的；直率的	both	G4-verb-sense-lost
blunted	钝的，不锋利的；生硬的；直率的	both	G4-verb-sense-lost
blurb	大肆宣传；吹捧性广告；商品信息	both	G4-verb-sense-lost
blurt	未加思索地冲口说出；突然说出	both	G4-verb-sense-lost
boast	自夸；值得夸耀的事物，引以为荣的事物	both	G4-verb-sense-lost
boats	船；船艇	both	G4-verb-sense-lost
bobby	n. (英)警察；Bobby.；n. 鲍比(男子名；Robert的昵称)	both	review
bobs	使上下（或来回）快速摆动； 剪短（头发）； 截短（尾巴）； 轻敲	both	G4-verb-sense-lost
bodies	（人或动物的）身体；（文章、文件等的）正文；主体部分	both	G4-verb-sense-lost
body	身体；主体；大量；团体；主要部分	both	G4-verb-sense-lost
boil	沸腾，煮沸；疖子	both	G4-verb-sense-lost
boils	生疖，疮	both	G4-verb-sense-lost
bolt	螺栓，螺钉；闪电，雷电；门闩；弩箭；（布的）一匹，一卷	both	G4-verb-sense-lost
bombs	[军] 炸弹	both	G4-verb-sense-lost
bondable	提供保证书(或保金), 充当…的保证人, 为…作保	both	G4-verb-sense-lost
bonneville	博纳维尔牌汽车； 犹他州的邦纳维尔； [医]宝石柱白鲑； [人名] 博纳维尔； [地名] [法国] 博讷维尔	both	review
bookstore	书店（等于bookshop）	both	review
boomed	激增； 猛涨； 发出隆隆声； 以低沉有力的声音说话	both	G4-verb-sense-lost
boondoggle	手工品；细小而无用的事；劳动力和生产工具不经济的利用	both	G4-verb-sense-lost
boosted	提高，推进；宣传	both	G4-verb-sense-lost
bootlegs	（尤指在音乐会上录制的） 私制唱片	both	G4-verb-sense-lost
bootstrap	[计] 引导程序，辅助程序；解靴带	both	G4-verb-sense-lost
bootstrapped	bootstrap（拔靴带，靴襻；自己单独从事的，自力的，靠自身努力的，自力更生的；靠自身努力摆脱某种状况）的变形	both	G4-verb-sense-lost
bootstraps	[计] 引导程序，辅助程序；解靴带；[复]独自所做的努力	both	G4-verb-sense-lost
bop	防喷器；（美口）波普爵士音乐；一击	both	G4-verb-sense-lost
bopping	跳舞； 击，打	both	G4-verb-sense-lost
bops	防喷装置堆	both	G4-verb-sense-lost
bosom	胸；胸怀；中间；胸襟；内心；乳房；内部	both	G4-verb-sense-lost
boss	老板；首领；工头	both	G4-verb-sense-lost
bottom	底部；末端；臀部；尽头	both	G4-verb-sense-lost
bowled	参加保龄球赛	both	G4-verb-sense-lost
bows	饰片；弓形物	both	G4-verb-sense-lost
boxer	n. 拳击手；拳师狗；boxers: 拳击短裤.	both	review
bracket	支架；括号；墙上凸出的托架	both	G4-verb-sense-lost
braid	辫子；穗带；发辫	both	G4-verb-sense-lost
brained	有头脑的，有思想的	both	G4-verb-sense-lost
brainstorm	集思广益；头脑风暴；灵机一动	both	G4-verb-sense-lost
braise	文火炖熟的肉；赤鲷	both	G4-verb-sense-lost
branch	树枝，分枝；分部；支流	both	G4-verb-sense-lost
branches	[计][核] 分支；分支机构	both	G4-verb-sense-lost
brands	品牌；烙印	both	G4-verb-sense-lost
brattle	隆隆地响，呱哒呱哒地跑，（动物）受惊而奔跑	both	G4-verb-sense-lost
brays	驴叫声，似驴叫的声音； （喇叭的）嘟嘟声	both	G4-verb-sense-lost
breaching	烟道导管；烟道总管；模拟板实验性电路板功能试验	both	G4-verb-sense-lost
bream	鲤科鱼；欧鳊属淡水鱼；用加热和刮擦的方法清扫船底	both	G4-verb-sense-lost
breasts	[解剖] 乳房；胸脯	both	G4-verb-sense-lost
breckenridge	[英格兰人姓氏] 布雷肯里奇 Brackenridge的变体； [地名] [美国] 布雷肯里奇	both	review
breed	[生物] 品种；种类，类型	both	G4-verb-sense-lost
breeds	[生物] 品种；族类	both	G4-verb-sense-lost
breeze	微风；轻而易举的事；煤屑；焦炭渣；小风波	both	G4-verb-sense-lost
bridged	在…建桥	both	G4-verb-sense-lost
bridges	n. 桥；Bridges.；n. 布里奇斯(姓氏)	both	review
briefest	短暂的； （衣着）短的； 简洁的； 简明的	both	G4-verb-sense-lost
brigade	旅；大部队；队列	both	G4-verb-sense-lost
brigades	旅；大部队；队列	both	G4-verb-sense-lost
bring	带来；促使；引起；使某人处于某种情况或境地	both	G4-verb-sense-lost
bringer	带来者；提供者	both	G4-verb-sense-lost
bringing	带来；促使；引起；使某人处于某种情况或境地	both	G4-verb-sense-lost
brisk	敏锐的，活泼的，轻快的；凛冽的	both	G4-verb-sense-lost
broached	谈起； 打开并开始用； 用凿子扩大（或修光）； （在桶上）钻孔取液体	both	G4-verb-sense-lost
broaches	谈起； 打开并开始用； 用凿子扩大（或修光）； （在桶上）钻孔取液体	both	G4-verb-sense-lost
broadcast	广播；播音；广播节目	both	G4-verb-sense-lost
bronzes	青铜； 青铜色； 赤褐色； 青铜艺术品	both	G4-verb-sense-lost
brooded	孵蛋； 沉思	both	G4-verb-sense-lost
broods	（雏鸡、鸟等的）一窝； 一家的孩子	both	G4-verb-sense-lost
bros	(brothers之略)兄弟	both	review
browbeat	恫吓，吓唬；欺侮	both	G4-verb-sense-lost
browned	褐色的，棕色的，咖啡色的，赭色的；皮肤(晒得)黝黑的，皮肤给晒黑了的；肤色深的	both	G4-verb-sense-lost
brush	刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴	both	G4-verb-sense-lost
brutalize	残酷地对待；使像野兽般残忍，使变得残酷无情	both	G4-verb-sense-lost
brutalized	残酷地对待；使像野兽般残忍，使变得残酷无情	both	G4-verb-sense-lost
bubble	气泡，泡沫，泡状物；透明圆形罩，圆形顶	both	G4-verb-sense-lost
buck	（美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人	both	G4-verb-sense-lost
buckler	小圆盾，防御物，防卫	both	G4-verb-sense-lost
