word	translation	frequency	source	review_reason	alt_translation
celebrex	[医]西乐葆(celecoxib制剂)	3178829	both	domain_medical	西乐葆(celecoxib制剂)<抗关节炎药>
ned	内德（男子名，等于Edward）	3152758	both	hal_rejected	n. 内德(男子名；Edmund；Edward的昵称）|abbr. 《新英语词典》(=New English Dictionary)
utf	Unicode转换格式	3151108	both	hal_rejected	Ultrasonic Transit Flowmeter
attainment	n. 达到；获得；attainments:成就； 才能； 学识.	3138108	both	close_common	n. 达到；获得|（常复数）attainments:成就； 才能； 学识.
rosemary	n. 迷迭香；Rosemary.；n. 罗斯玛丽(女子名)	3030760	both	close_common	n. 迷迭香|Rosemary.|n. 罗斯玛丽(女子名)
soho	abbr. 在家上班族（ ； office）	3012062	both	score	在家上班族（Small Office/Home Office）；索和区（South of Houston Street）；太阳及日光层观测卫星（Solar and Heliospheric Observatory）；安全及职业保健署（Safety and Occupational Health Office）
swords	n. 剑；刀；Swords.；n. 索兹(姓氏)	2979433	both	close_common	n. 剑；刀|名词sword的复数形式.|Swords.|n. 索兹(姓氏)
kris	波壮刃短剑（等于creese，马来西亚和印尼的）	2970945	both	close_common	n. (马来西亚和印尼的)波壮刃短剑|=creese.
mikes	n. 扩音器；麦克风；v. 用扩音器传送；n. [大写]迈克（男子名,Michael的昵称）	2933878	both	score	(=microphone)<口>话筒，送话器，微音器( mike的名词复数 )
overland	adj. 陆路的；adv. 经由陆路地；Overland.；n. 欧弗兰（美国密苏里州东部一城市）	2913342	both	close_common	adj. 陆路的|adv. 经由陆路地|Overland.|n. 欧弗兰（美国密苏里州东部一城市）
neighboring	邻近的；附近的（等于neighbouring）	2909095	both	close_common	adj. 附近的；邻近的；邻接的|动词neighbor的现在分词形式.
vu	[缩]Vanuatu瓦努阿图	2872180	both	close_common	[域] Vanuatu, 瓦努阿图
connie	n. 康妮(女子名；Constance的昵称)；n. 康尼(男子名； 和 Cornelius的昵称)	2838668	both	close_common	n. 康妮(女子名；Constance的昵称)|n. 康尼(男子名；Conrad 和 Cornelius的昵称)
demolition	拆除（等于demolishment）；破坏；毁坏	2830701	both	score	n. 破坏；毁坏|(复数)demolitions：炸药.
griffith	格里菲思（女子名, Griffin的异体）	2805409	both	close_common	n. 格里菲思(男子名；Griffin的异体)
urbana	[委内瑞拉] 乌尔瓦纳； [地名] [美国] 厄巴纳	2772517	both	close_common	n. 厄巴纳(在美国；西经 93º10' 北纬 37º52')
archer	n. 射箭运动员；弓箭手；Archer.；n. 射手座；阿切尔(姓氏)	2762538	both	close_common	n. 射箭运动员；弓箭手|Archer.|n. 射手座；阿切尔(姓氏)
lambert	n. 朗伯(一种亮度单位)；Lambert.；n. 兰伯特(姓氏或男子名)	2738171	both	close_common	n. 朗伯(一种亮度单位)|Lambert.|n. 兰伯特(姓氏或男子名)
gerard	杰勒德（男子名，Gerald的异体）	2734359	both	close_common	n. 杰勒德(男子名；Gerald的异体)
garner	v. 贮藏；收集；得到；n. 谷仓；Garner.；n. 加纳(姓氏)	2725663	both	close_common	v. 贮藏；收集；得到|n. 谷仓|Garner.|n. 加纳(姓氏)
vioxx	[医]万络（含rofecoxib）	2717063	both	domain_medical	万络(含rofecoxib)<抗关节炎药>
hubbard	[医]Hubbard槽； [人名] 哈伯德； [地名] [加拿大、美国] 哈伯德	2649059	both	domain_medical	squash  <美>[植]笋瓜
becky	n. 贝基（女子名；Rebecca的昵称）	2606971	both	close_common	n. 贝基（女子名；Rebecca的昵称）
kendall	肯德尔(①姓氏, 男子名 ② Calvin, 1886-1972, 美国生物化学家, 曾获1950年诺贝尔生理学-医学奖)	2588076	both	close_common	肯德尔(①姓氏, 男子名 ②Edward Calvin,  1886-1972, 美国生物化学家, 曾获1950年诺贝尔生理学-医学奖)
listserv	BITnet上用来管理讨论邮件清单的程序	2572223	both	close_common	BITnet上用来管理讨论邮件清单的程序
winamp	Windows上最流行的mp3播放软件	2553604	both	close_common	Windows上的mp3播放软件
zz	Z字形, 锯齿形（等于zigzag）	2548654	both	close_common	n. (=zigzag)Z字形；锯齿形
wes	n. 韦斯(男子名；Wesley的昵称)	2548030	both	score	water electrolysis system 水电解系统; Weasua, Liberia 利比亚; Welding Engineering Standard <日本>焊接工程标准; wavelength demodulation system 波长解调系统
woodstock	伍德斯托克音乐节（每年8月在纽约州东南部Woodstock举行的摇滚音乐节）	2547116	both	close_common	n. 伍德斯托克音乐节(每年8月在纽约州东南部Woodstock举行的摇滚音乐节)|n. 伍德斯托克(城市名)
sweeping	n. 扫除；sweepings: 垃圾.；adj. 一扫而去的；凶猛的；广泛的	2463965	both	close_common	n. 扫除|（复数）sweepings: 垃圾.|adj. 一扫而去的；凶猛的；广泛的|动词sweep的现在分词.
abe	亚伯（男子名，等于Abraham）	2420884	both	close_common	n. 亚伯(男子名；Abraham 的昵称)
receivable	adj. 可收到的；应收的；n. (复)receivables: 应收帐款	2400318	both	close_common	adj. 可收到的；应收的|n. (复)receivables: 应收帐款
draper	n. 布商；带式输送器；布面清选机；Draper.；n. 德雷珀(姓氏、男子名或地名)	2394747	both	close_common	n. 布商；带式输送器；布面清选机|Draper.|n. 德雷珀(姓氏、男子名或地名)
manpower	n. 人力；Manpower.；n. 公司(财富500强公司之一；总部所在地美国；主要经营临时帮助)	2371829	both	close_common	n. 人力|Manpower.|n. 公司(财富500强公司之一；总部所在地美国；主要经营临时帮助)
kh	( , inlet, ravine, water-course) （阿拉伯语）小溪； 海湾； 高棉人； 高棉语	2364036	both	close_common	[域] Cambodia, 柬埔塞
celestial	adj. 天上的；非凡的；n. 天神；Celestial.；adj. 中国的；中国人的；n. 中国人	2355105	both	close_common	adj. 天上的；非凡的|n. 天神|Celestial.|adj. 中国的；中国人的|n. 中国人
merlin	n. 灰背隼；Merlin.；n. 梅林(男子名)	2354378	both	close_common	n. 灰背隼|Merlin.|n. 梅林(男子名)
cocos	[医]椰子； [地名] [巴西] 科库斯	2354000	both	domain_medical	椰子
protestant	n. 抗议者；adj. 抗议的；Protestant.；n. 新教徒；adj. 新教徒的	2350938	both	close_common	n. 抗议者|adj. 抗议的|Protestant.|n. 新教徒|adj. 新教徒的
koch	科赫(Robert, 1843-1910, 德国细菌学家, 医学家, 结核菌、霍乱菌发现者, 曾获1905年诺贝尔生理学-医学奖)	2349132	both	close_common	科赫(Robert,  1843-1910, 德国细菌学家, 医学家, 结核菌、霍乱菌发现者, 曾获1905年诺贝尔生理学-医学奖)
patty	n. 肉饼；Patty；n. 帕蒂(女子名；Mathilda；Matilda； 的昵称)	2339693	both	close_common	n. <美>肉饼|Patty|n. 帕蒂(女子名；Mathilda；Matilda；Martha 的昵称)
episcopal	主教的（副词episcopally）；主教管辖的；主教制度的；英国国教的	2336299	both	close_common	adj. 主教的；主教管辖的|Episcopal.|adj. 新教圣公会的
prudential	adj. 谨慎的；细心的；深谋远虑的；明辨的；咨询的；Prudential.；n. 保诚保险(总部所在地英国)	2319748	both	close_common	adj. 谨慎的；细心的；深谋远虑的；明辨的；咨询的|Prudential.|n. 保诚保险(总部所在地英国)
endeavor	努力；尽力（等于endeavour）	2277610	both	close_common	n. 尽力；努力|v. 尽力；努力；力图
jules	朱尔斯(Julius的异体)	2268604	both	close_common	n. 朱尔斯(Julius的异体)(m
cecil	n. 塞西尔(①姓氏；男子名② Robert；1864-1958；英国政治家；曾获1937年诺贝尔和平奖)	2262884	both	close_common	n. 塞西尔(①姓氏；男子名②Edgar Algernon Robert；1864-1958；英国政治家；曾获1937年诺贝尔和平奖)
grange	n. 农场；庄园；Grange.；n. 格兰其（美国农业保护者协会）	2247323	both	close_common	n. 农场；庄园|Grange.|n. 格兰其（美国农业保护者协会）
bros	(brothers之略)兄弟	2240209	both	close_common	abbr. 兄弟（=Brothers）
admins	[计]一种数据库管理系统(Admins公司)	2233477	both	close_common	abbr. 管理员（administrators）
greenfield	n. 市郊绿区；Greenfield.；n. 格林菲尔德（美国马萨诸塞州西北部城镇；威斯康辛州东南部城市）	2209164	both	close_common	n. 市郊绿区|Greenfield.|n. 格林菲尔德（美国马萨诸塞州西北部城镇；威斯康辛州东南部城市）
santos	n. 圣者像；Santos.；n. 桑托斯(巴西港口)	2209111	both	close_common	n. 圣者像|名词santo的复数形式.|Santos.|n. 桑托斯(巴西港口)
cousins	n. 卡曾斯(姓)；cousins.；n. 堂兄弟；堂姐妹；表兄弟；表姐妹	2197809	both	close_common	n. 卡曾斯(姓)|cousins.|n. 堂兄弟；堂姐妹；表兄弟；表姐妹|名词cousin的复数形式.
scholastic	学校的；学者的；学术的（等于scholastical）	2190315	both	close_common	adj. 学术的；学习的；学院的；教育的；拘泥于形式的，教条的|n. 经院哲学家；墨守成规者；学究
fishes	n. 鱼；Fishes.；n. 双鱼宫	2151535	both	close_common	n. 鱼|名词fish的复数形式.|Fishes.|n. 双鱼宫
nora	n. 诺拉（女子名；Eleanor；Honora；Leonora的昵称）	2144854	both	score	National Osteoporosis Risk Assessment 全国骨质疏松风险评估; nonoverlapping redundant array 无交叠冗余阵列
mca	[计] Architecture微通道结构	2134338	both	score	monetary compensatory account(ing) 货币补偿账目; monetary compensation amounts 货币补偿数量; money compensatory account(ing) 货币补偿账目; minimum control airspeed 最小空速控制
burgess	n. (英)市民；镇民；（代表市镇或大学的）国会议员；（殖民地弗吉尼亚州或马里兰州的立法机关）下议院议员；Burgess：.；n. 伯吉斯	2120777	both	close_common	n. (英)市民；镇民；（代表市镇或大学的）国会议员；（殖民地弗吉尼亚州或马里兰州的立法机关）下议院议员|Burgess：.|n. 伯吉斯（人名）
cracker	n. 薄脆饼干；发出爆裂声的东西；爆竹；裂化设备；黑客；迷人的女子；自夸的人；穷苦白人；(复)crackers：n. 胡桃钳；Cracker	2103875	both	close_common	n. 薄脆饼干；发出爆裂声的东西；爆竹；裂化设备；黑客；迷人的女子；<方>自夸的人；<贬>穷苦白人|(复)crackers：n. 胡桃钳|Cracker|n. 佛罗里达州和乔治亚州当地居民的别名
philly	费城（Philadelphia的俗称，美国一座城市）	2102437	both	close_common	n. 费城(美国城市；Philadelphia的俗称)
influencing	adj. 影响的；influence的现在进行分词形式.	2094933	both	score	影响（influence的ing形式）
christy	人名；(英)克里斯蒂，克丽丝蒂(女名) (教名Christian、Christabel的昵称)	2094560	both	close_common	n. 作制动转弯|Christie.|n. 克里斯蒂（姓氏）
medina	n. 麦地那（位于北非的一阿拉伯城市的旧城部分）；Medina.；n. 麦地那（沙特阿拉伯西部一城）；n. 麦地那 (美国俄亥俄东北部一城市)	2085061	both	close_common	n. 麦地那（位于北非的一阿拉伯城市的旧城部分）|Medina.|n. 麦地那（沙特阿拉伯西部一城）|n. 麦地那 (美国俄亥俄东北部一城市)
tbd	旅游商务区 District；待定	2074334	both	close_common	abbr. 待完成；待做(=to be determined)
eliot	n. 埃利奥特；艾略特(姓氏；Elias的异体；亦作Elliott	2049290	both	close_common	n. 埃利奥特；艾略特(姓氏；Elias的异体；亦作Elliott；Elliot)
arranging	n. 安排；动词arrange现在分词形式.	2043604	both	score	安排（arrange的ing形式）
lakeside	n. 湖边；Lakeside.；n. 莱克赛德(美国地名)	2036381	both	close_common	n. 湖边|Lakeside.|n. 莱克赛德(美国地名)
libby	莉比（等于Elizabeth，女子名）	2019919	both	close_common	n. 利比(Elizabeth的昵称)
rudy	鲁迪（男子名，Rudolf的昵称）	2014882	both	close_common	n. 鲁迪(男子名；Rudolf的昵称)
thx	汤·霍尔曼实验（ expriment的缩写）；谢谢（thanks的缩写）	2008850	both	close_common	abbr. 钍X(镭的同位素)(=thorium X)|THX.|abbr. 谢谢(=thanks)
tamiflu	[医]是一种抗病毒药（含 phosphate）	1976189	both	domain_medical	是一种抗病毒药(含oseltamivir phosphate)
eastman	伊斯门(①姓氏 ②George, 1854-1932, 美国摄影技术领域的发明家)	1974520	both	close_common	伊斯门(①姓氏 ②George,  1854-1932, 美国摄影技术领域的发明家)
confederate	n. 同盟者；同盟国；同伙；Confederate：美国南部联盟.；adj. 同盟的；联合的；v. （使)结盟；（使)联合	1966184	both	close_common	n. 同盟者；同盟国；同伙|Confederate：美国南部联盟.|adj. 同盟的；联合的|v. （使)结盟；（使)联合
sedona	塞多那市，亚利桑那州。位于凤凰城以北145千米处。； [地名] [美国] 塞多纳	1963002	both	close_common	n. 塞多纳(在美国；西经 111º45' 北纬 34º53')
caterpillar	n. 毛虫；Caterpillar.；n. 卡特彼勒(财富500强公司之一；总部所在地美国；主要经营工业农业设备)	1947305	both	close_common	n. 毛虫|Caterpillar.|n. 卡特彼勒(财富500强公司之一；总部所在地美国；主要经营工业农业设备)
remington	雷明顿（姓氏； Frederic, 1861-1909，美国艺术家）	1946473	both	close_common	雷明顿( ①姓氏 ②Frederic,  1861-1909, 美国艺术家)
saskatoon	n. 唐棣属植物；Saskatoon.；n. 萨斯卡通(加拿大中南部一城市)	1937497	both	close_common	n. 唐棣属植物|Saskatoon.|n. 萨斯卡通(加拿大中南部一城市)
nom	名义上的（等于nominal）	1931008	both	score	abbr. 主格（=Nominative）
dickens	n. 魔鬼；究竟；Dickens；n. 狄更斯（英国作家）	1930015	both	close_common	n. <口> 魔鬼；究竟|Dickens|n. 狄更斯（英国作家）
adler	阿德勒(①姓氏 ②Alfred, 1870-1937, 奥地利精神病学家、心理学家)	1926676	both	close_common	阿德勒(①姓氏 ②Alfred,  1870-1937, 奥地利精神病学家、心理学家)
zach	扎克(Zachary,Zachariah的昵称亦作	1914201	both	close_common	n. 扎克(男子名；Zachary；Zachariah的昵称；亦作Zack；Zak)|abbr. 新约中施洗约翰的父亲撒迦利亚(=Zacharias)
elisabeth	伊丽莎白（女子名，等于Elizabeth）	1888877	both	close_common	n. 伊丽莎白(女子名)|=Elezabeth.
wand	魔杖；棒；权杖；嫩枝；识别笔（等于 reader）	1887049	both	close_common	n. 棒；棍；杖；魔杖；嫩枝；<美>箭靶
ulster	n. 乌尔斯特大衣；Ulster.；n. 乌尔斯特(原为爱尔兰一地区；今为北爱尔兰及爱尔兰共和国所分割)	1885001	both	close_common	n. 乌尔斯特大衣|Ulster.|n. 乌尔斯特(原为爱尔兰一地区；今为北爱尔兰及爱尔兰共和国所分割)
excl	除外的（等于exclusive）；除外（等于excluded）；不包括（等于excluding）	1881600	both	close_common	Exclusive 除外的
croix	克鲁瓦； [地名] [法国] 克鲁瓦	1871912	both	domain_legal	n. 克鲁瓦
neville	内维尔；[男子名] [英格兰人、爱尔兰人姓氏] 内维尔住所名称，来源于古法语，含义是“新+居留地”(new+settlement)	1864220	both	domain_legal	内维尔
natasha	娜塔莎（亦作Natascha）	1863553	both	close_common	n. 娜塔莎(女子名；亦作Natascha）
mona	n. 莫娜(女子名)；n. [动]白腹长尾猴(西非常见的一种长尾猴)； Passage.；n. 莫纳海峡(在拉丁美洲的海地岛和波多黎各岛之间)	1860383	both	close_common	n. 莫娜(女子名)|n. [动]白腹长尾猴(西非常见的一种长尾猴)|Mona Passage.|n. 莫纳海峡(在拉丁美洲的海地岛和波多黎各岛之间)
linden	n. [植]椴属；菩提树；Linden.；n. 林登（美国新泽西州东北部城市）	1843791	both	close_common	n. [植]椴属；菩提树|Linden.|n. 林登（美国新泽西州东北部城市）
yogurt	酸奶酪，[食品] 酸乳（等于yoghurt）	1832002	both	close_common	n. 酸奶；酵母乳|=yoghurt.
polaroid	n. 人造偏光板；Polaroid.；n. 偏光薄膜；有偏光薄膜的太阳眼镜；宝丽来(一种快速成像照相机)；用宝丽来拍出来的照片	1788581	both	close_common	n. 人造偏光板|Polaroid.|n. 偏光薄膜；有偏光薄膜的太阳眼镜；宝丽来(一种快速成像照相机)；用宝丽来拍出来的照片
marquis	（法）侯爵；世袭贵族（等于marquess）	1788011	both	close_common	n. 侯爵|=marquess.
almighty	adj. 万能的；极大的；adv. 极度地；Almighty:上帝.	1780004	both	close_common	adj. 万能的；极大的|adv. 极度地|Almighty:上帝.
hess	赫斯(①姓氏 ② Franz；1883-1964；生于奥地利的美国物理学家；曾获1936年诺贝尔物理学奖 ③ Rudolf；1881-1973；瑞士生理学家	1773182	both	close_common	赫斯(①姓氏 ②Victor Franz；  1883-1964； 生于奥地利的美国物理学家； 曾获1936年诺贝尔物理学奖 ③Walter Rudolf；  1881-1973； 瑞士生理学家； 曾获 1949年诺贝尔生理学-医学奖)
hooker	n. (橄榄球)扭夺时的中心选手；妓女；小渔船；Hooker.；n. 胡克（姓氏）	1768891	both	close_common	n. (橄榄球)扭夺时的中心选手；妓女；小渔船|Hooker.|n. 胡克（姓氏）
orthopedic	整形外科的（等于orthopaedic）	1764724	both	close_common	adj. 整形外科的|=orthopaedic.
larsen	[医]综合征：本征特点为腭裂，面部扁平，多处关节先天性脱位，及足畸形； [人名] 拉森； [地名] [荷兰、美国] 拉森	1733946	both	domain_medical	n. 拉森
flushing	n. 冲洗；脸红；Flushing: 弗拉兴(纽约城的一个区).	1731756	both	close_common	n. 冲洗；脸红|动词flush的现在分词形式.|Flushing: 弗拉兴(纽约城的一个区).
lena	莉娜（女子名，等于Helena）；勒拿河（西伯利亚中部河流）	1727154	both	close_common	n. 莉娜(女子名；Helena 的昵称)
cpm	n. 每分钟卡片张数(临界途径法)；abbr. 腐蚀防护手册（ Manual，CPM）	1725820	both	close_common	n. 每分钟卡片张数(临界途径法)|abbr. 腐蚀防护手册（Corrosion Prevention Manual，CPM）
emoticons	情感符（等于Smiley）	1711990	both	close_common	n. 表情符号|名词emoticon的复数形式.
hms	英国政府公务（Her/ Service）；皇家海军舰艇（Her/ Ship）	1711533	both	close_common	abbr. 英国政府公务 (Her/ His Majesty's Service)
ottoman	土耳其帝国的（等于Turkish）；土耳其人的；土耳其民族的	1703262	both	close_common	n. 软凳；垫脚软凳|Ottoman.|n. 土耳其人|adj. 土耳其帝国的；土耳其人的；土耳其民族的（=Turkish）
burgers	n. 汉堡；Burgers.；n. 伯格斯(姓氏)	1682693	both	close_common	n. 汉堡|名词burger的复数形式.|Burgers.|n. 伯格斯(姓氏)
hershey	[医] Day美国生物学家，1908年生，因研究病毒的遗传物质和机理，与 Delbruck和 E. Luria共获1969年医学生理学诺贝尔奖	1676137	both	domain_medical	n. 赫尔希(姓氏）|n. 赫尔希小镇(位于美国宾夕法尼亚州)
pearce	[英格兰人姓氏] 皮尔斯来源于中世纪英语教名，Peter的土语形式； [地名] [加拿大、美国] 皮尔斯	1668218	both	hal_rejected	穿
dmoz	开放目录项目（来自于Directory.Mozilla.org的简写，一个由世界各地志愿者共同维护与建设的全球目录社区）	1642050	both	close_common	开放目录项目, 也叫Open Directory Project
wilkins	威尔金斯(①姓氏 ② Frederick, 1916-, 生于新西兰的英国生物物理学家, 曾获1962年诺贝尔生理学-医学奖)	1641416	both	close_common	威尔金斯(①姓氏 ②Maurice Hugh Frederick,  1916-, 生于新西兰的英国生物物理学家, 曾获1962年诺贝尔生理学-医学奖)
emmanuel	以马内利（耶稣基督的别称）；伊曼纽尔（男子名，等于Immanuel）	1630708	both	hal_rejected	n. 救世主(基督教《圣经》中先知Isaiah及圣徒Matthew等对耶酥基督的别称；意为：上帝与我们同在)|=immanuel.
everlasting	adj. 永恒的；持久的；无止境的；n. 永恒；永久盛开的花；[大写]Everlasting: 上帝.	1630054	both	close_common	adj. 永恒的；持久的；无止境的|n. 永恒；永久盛开的花|[大写]Everlasting: 上帝.
argentine	adj. 银的；n. 银；Argentine.；n. 阿根廷人；adj. 阿根廷（人）的	1628903	both	close_common	adj. 银的|n. 银|Argentine.|n. 阿根廷人|adj. 阿根廷（人）的
mnt	(=17-α-methyl-19-nortestosterone) 甲基去甲睾丸酮, 甲诺酮, 甘露醇, 甘露糖醇, 微量中和试验, 单硝基甲苯	1615936	both	close_common	(=17-α-methyl-19-nortestosterone) 甲基去甲睾丸酮, 甲诺酮,(=mannitol) 甘露醇, 甘露糖醇,(=micro neutralization test) 微量中和试验,(=mononitrotoluene) 单硝基甲苯
antony	Antony.；n. 安东尼（男子名）；n. 安东尼市（法国中北部城市）	1615554	both	close_common	Antony.|n. 安东尼（男子名）|=Anthony.|n. 安东尼市（法国中北部城市）
abigail	n. 侍女；Abigail:.；n. 阿比盖尔(女子名)	1604495	both	close_common	n. 侍女|Abigail:.|n. 阿比盖尔(女子名)
eyeglasses	眼镜（等于glasses）	1598397	both	close_common	n. 眼镜|=glasses.
crowley	[爱尔兰姓氏] 克罗利住所名称，来源于古英语，含义是“鸦+树林，开垦地”(crow+wood,clearing)	1588300	both	domain_medical	n. 克罗雷
breckenridge	[英格兰人姓氏] 布雷肯里奇 Brackenridge的变体； [地名] [美国] 布雷肯里奇	1573851	both	close_common	n. 布雷肯里奇(在美国；西经 98º56' 北纬 32º45')
paisley	n. (苏格兰)佩斯利涡旋纹花呢；adj. 佩斯利织物的；Paisley.；n. 佩斯里(苏格兰西南部一城市)	1557028	both	close_common	n. (苏格兰)佩斯利涡旋纹花呢|adj. 佩斯利织物的|Paisley.|n. 佩斯里(苏格兰西南部一城市)
elias	伊莱亚斯（希伯来先知, 等于Elijah）	1552410	both	close_common	n. 伊莱亚斯(希伯来先知)|=Elijah.
marseille	n. 马塞双层布；Marseille.；n. 马赛(法国港口城市）	1542837	both	close_common	n. 马塞双层布|Marseille.|n. 马赛(法国港口城市）
stephenson	斯蒂芬森(①姓氏 ②George, 1781-1848, 英国发明家, 蒸气机的发明人)	1542254	both	close_common	斯蒂芬森(①姓氏 ②George,  1781-1848, 英国发明家, 蒸气机的发明人)
bum	流浪汉；屁股；狂欢作乐；能力差的人；嗡嗡声；执达员（等于bumbailiff）	1523602	both	close_common	n. 流浪汉；游荡者；懒鬼|n. <俚>屁股|n. 狂欢|adj. 无价值的；残废的；不合理的|vt. 使失望|vt. 乞求|vi. 乞讨；游荡
submitter	发送者；传送者；提交人（原形是submit）	1521555	both	close_common	vt. 使服从；使屈服；提交；递交；认为|vi. 屈从
clinique	诊所，门诊部（等于clinic）	1518938	both	close_common	n. 诊所；门诊部|=clinic.
goddard	戈达德(①姓氏 ② Hutchings； 1882-1945； 美国物理学家； 火箭工程学的先驱者)	1516197	both	close_common	戈达德(①姓氏 ②Robert Hutchings；  1882-1945； 美国物理学家； 火箭工程学的先驱者)
imitrex	[医]琥珀酸舒马普曲坦注射剂（含 succinate）	1480884	both	domain_medical	琥珀酸舒马普曲坦注射剂(含sumatriptan succinate)
dynamical	动力学的（等于dynamic）；有生气的；有力的	1477917	both	close_common	adj. 动力的；电动的；有生气的；不断变化的|=dynamic.
nautilus	n. 鹦鹉螺；舡鱼；Nautilus.；n. 鹦鹉螺号(美国第一艘核潜艇)	1470549	both	close_common	n. 鹦鹉螺；舡鱼|Nautilus.|n. 鹦鹉螺号(美国第一艘核潜艇)
henley	亨里（姓氏； Ernest, 1849-1903，英国诗人，批评家及剧作家）	1466836	both	close_common	亨里(①姓氏 ②William Ernest,  1849-1903, 英国诗人, 批评家及剧作家)
effexor	[医]郁复伸，（文拉法辛制剂）（含venlafaxine）	1465969	both	domain_medical	郁复伸, (文拉法辛制剂)(含venlafaxine)
edmond	埃德蒙（亦作Edmund）	1453269	both	close_common	n. 埃德蒙(男子名；亦作Edmund)|n. 埃特蒙德(美国城市)
assassin	n. 暗杀者；刺客；Assassin.；n. 暗杀基督教十字军成员的穆斯林狂热派	1449166	both	close_common	n. 暗杀者；刺客|Assassin.|n. 暗杀基督教十字军成员的穆斯林狂热派
ives	艾夫斯(①姓氏,男子名② Edward,1874-1954,美国作曲家 ③ Merritt, 1824-1895, 美国石印家)	1437217	both	score	艾夫斯(①姓氏, 男子名②Charles Edward,  1874-1954, 美国作曲家 ③James Merritt,  1824-1895, 美国石印家)
jody	乔迪(Judith的昵称亦作	1433607	both	close_common	n. 乔迪(女子名；Judith的昵称；亦作Jodi；Jodie)
hmc	(=5- cytosine) 5-羟甲基胞嘧啶, 手镜形细胞, 保健合作, 海洛因、吗啡和古柯碱合剂, 医院管理委员会, 人中期染色体, 东莨菪碱-吗啡-可待因	1425449	both	close_common	(=5-hydroxymethyl cytosine) 5-羟甲基胞嘧啶,(=hand-mirror cell) 手镜形细胞,(=health maintenance cooperative) 保健合作,(=heroin, morphine, and cocaine(mixture)) 海洛因、吗啡和古柯碱合剂,(=hospital management committee) 医院管理委员会,(=human metaphase chromosome) 人中期染色体,(=hyoscine-morphine-codeine) 东莨菪碱-吗啡-可待因
hyperlinks	n. 超级链接；名hyperlink词的复数形式.	1424368	both	score	超链接( hyperlink的名词复数 )
trapping	n. 诱捕；trappings: 装饰物； 象征的符号.	1415594	both	close_common	n. 诱捕|（复数）trappings: 装饰物； 象征的符号.|动词trap的现在分词.
nix	无（等于nothing）；皆无；女水妖（出现在德国神话中）	1414384	both	close_common	n. 无；皆无；水中精灵|v. 禁止；拒绝|adv. 不是这样；不
planck	普朗克 ( Ludwig, 1858-1947, 德国物理学家, 量子论确立者, 曾获1918年诺贝尔物理学奖)	1412481	both	close_common	普朗克 (Max Karl Ernst Ludwig,  1858-1947, 德国物理学家, 量子论确立者, 曾获1918年诺贝尔物理学奖)
reformation	n. 改造；变革；Reformation.；n. (十六世纪欧洲的)宗教改革运动	1412334	both	close_common	n. 改造；变革|Reformation.|n. (十六世纪欧洲的)宗教改革运动
coliseum	竞技场；大剧场；大体育馆（等于colosseum）	1392116	both	close_common	n. 大体育馆；大剧场；大公共娱乐场|=colosseum.
potty	便壶；小孩用的拉屎座椅（等于 chair）；小孩用的厕所（等于pottie）	1390617	both	close_common	n. (小孩的)便壶|adj. 疯癫的；着迷的；微小的；愚蠢的
groves	n. 小树林；果树园；Groves.；n. 格罗夫斯(美国得克萨斯州东南一城市)；n. 格罗夫斯	1377169	both	close_common	n. 小树林；果树园|名词grove的复数形式.|Groves.|n. 格罗夫斯(美国得克萨斯州东南一城市)|n. 格罗夫斯(人名)
adirondack	阿尔岗金族印第安人； 艾迪龙达克（美国IBM公司大型计算机System3081D在开发时期所用代号）	1370037	both	close_common	n. 阿尔岗金族印第安人；Camp Adirondack (minimum-security prison in the Adirondack Mountains near Lake Placid；New York) 艾迪伦达克集中营(位于纽约普莱西德湖附近艾迪伦达克山上的最低安全监狱)
wheeling	n. 旋转；车辆搬运；道路行车鉴定；Wheeling.；n. 惠灵（美国伊利诺斯州东北部村庄；西弗吉尼亚州西北部城市）	1367716	both	close_common	n. 旋转；车辆搬运；道路行车鉴定|动词wheel的现在分词形式.|Wheeling.|n. 惠灵（美国伊利诺斯州东北部村庄；西弗吉尼亚州西北部城市）
madeleine	玛德琳蛋糕；马德琳（女子名，等于Madelin）	1358505	both	close_common	n. 玛德琳(女子名)|madeleine.|n. 玛德琳蛋糕
erwin	欧文(Irving的异体)	1356404	both	close_common	n. 欧文(Irving的异体)(m
freaky	畸形的；捉摸不定的（等于freakish）	1352418	both	close_common	adj. (=freakish)畸形的；古怪的；捉摸不定的
suisse	（法）瑞士（等于Switzerland）	1348414	both	close_common	n. 瑞士|=Switzerland.
frankenstein	n. 弗兰肯斯坦(英国女作家 W. Shelly所著同名小说中的主角)；人形怪物；作法自毙的人，被自己的创造物所毁者	1347765	both	close_common	n. 弗兰肯斯坦(英国女作家Mary W. Shelly所著同名小说中的主角)；人形怪物；作法自毙的人，被自己的创造物所毁者
slackware	由 Volkerding于1993年创建并维护至今的一个Linux发行版本	1332904	both	close_common	由Patrick Volkerding于1993年创建并维护至今的一个Linux发行版本。
goalie	守门员（等于goalkeeper）	1329458	both	close_common	n. <非正式> (足球等运动的)守门员|=goalkeeper
goodyear	固特异轮胎（世界500强的橡胶产业, 总部设于美国）；古德伊尔（①姓氏②Charles, 1800-1860, 发明硬橡皮制造法的美国人）	1318472	both	close_common	古德伊尔(①姓氏 ②Charles,  1800-1860, 发明硬橡皮制造法的美国人)
